Species,Color,Source,Pollinator,Source
Acanthogilia gloriosa,white,Hsu and Hall 2003,hummingbird,Hsu and Hall 2003
Aliciella caespitosa,red,Porter 1998,hummingbird,Grant and Grant 1965
Aliciella formosa,pink,Porter 1998,,
Aliciella haydenii,pink,Porter 1998,,
Aliciella heterostyla,pink,Porter 1998,,
Aliciella hutchinsifolia,white,Porter 1998,autogamous,Grant and Grant 1965
Aliciella latifolia,pink,Porter 1998,,
Aliciella leptomeria,white,Porter 1998,autogamous,Grant and Grant 1965
Aliciella lottiae,white,Porter 1998,,
Aliciella mcvickerae,blue,Porter 1998,,
Aliciella micromeria,white ,Porter 1998,autogamous,Grant and Grant 1965
Aliciella monoensis,white,Jepson Online,,
Aliciella nyensis,pink,Porter 1998,,
Aliciella pinnatifida,blue,Porter 1998,bee,Grant and Grant 1965
Aliciella ripleyi,pink,Porter 1998,,
Aliciella stenothyrsa,white,Porter 1998,,
Aliciella subacaulis,white,Porter 1998,,
Aliciella subnuda,red,Porter 1998,hummingbird,Grant and Grant 1965
Aliciella tenuis,blue,Porter 1998,,
Aliciella triodon,white,Porter 1998,,
Allophyllum divaricatum,pink,Jepson Online,beefly,Grant and Grant 1965
Allophyllum gilioides,blue-purple,Jepson Online,autogamous,Grant and Grant 1965
Allophyllum glutinosum,blue-purple,Jepson Online,"bee primary, secondary beefly",Grant and Grant 1965
Allophyllum integrifolium,white,Jepson Online,autogamous,Grant and Grant 1965
Allophyllum violaceum,blue,Jepson Online,autogamous,Grant and Grant 1965
Bonplandia geminiflora,blue-purple,Grant and Grant 1965,bee,Grant and Grant 1965
Bryantiella glutinosa,white,Porter and Johnson 2000,,
Bryantiella palmeri,pink,Porter and Johnson 2000,,
Cantua bicolor,red,Polemoniaceae Tree of Life Web Project,,
Cantua buxifolia,red,Grant and Grant 1965,hummingbird,Grant and Grant 1965
Cantua candelilla,red,Grant and Grant 1965,hummingbird,Grant and Grant 1965
Cantua cuzcoensis,pink,Polemoniaceae Tree of Life Web Project,,
Cantua dendritica,white,Porter and Prather 1998,,
Cantua flexuosa,white,Polemoniaceae Tree of Life Web Project,,
Cantua pyrifolia,white,Grant and Grant 1965,,
Cantua quercifolia,white,Grant and Grant 1965,"hummingbird primary, hawkmoth secondary",Grant and Grant 1965
Cantua volcanica,purple,Grant and Grant 1965,,
Cobaea aequatoriensis,green,Prather 1999b,bat,Prather 1999b
Cobaea aschersoniana,green,Prather 1999b,bat,Prather 1999b
Cobaea biaurita,pink,Prather 1999b,,
Cobaea campanulata,green,Prather 1999b,hummingbird,Prather 1999b
Cobaea flava,yellow,Prather 1999b,,
Cobaea gracilis,green,Prather 1999b,,
Cobaea lutea,greenish-yellow,Prather 1999b,autogamous,Prather 1999b
Cobaea minor,green,Prather 1999b,hummingbird,Prather 1999b
